"","Xmol","SFR"
"181",9.8928178e-06,0
"182",1.8341357e-05,0
"183",2.205435e-05,0
"184",1.164905e-05,0
"185",1.5841637e-05,0
"186",1.6091619e-05,0
"187",1.5285649e-05,0
"188",1.6881627e-05,0
"189",1.6101828e-05,0
"190",1.3233098e-05,0
"191",1.2008697e-05,0
"192",1.2878009e-05,0
"193",1.2690642e-05,0
"194",1.8544716e-05,0
"195",1.6954463e-05,0
"196",0.0030692397,1
"197",0.00089276946,1
"198",3.2662972e-05,0
"199",2.7394205e-05,0
"200",2.3394463e-05,0
"201",7.1317978e-05,1
"202",0.00050153231,1
"203",4.0111801e-05,0
"204",0.00076726924,1
"205",0.00021277654,1
"206",3.4474812e-05,0
"207",2.4271875e-05,0
"208",2.8959546e-05,0
"209",3.0469035e-05,0
"210",4.1178049e-05,0
"211",3.5346142e-05,0
"212",2.8445626e-05,0
"213",1.9655793e-05,0
"214",3.2576386e-05,0
"215",3.158384e-05,0
"216",3.1212868e-05,0
"217",2.1213297e-05,0
"218",4.2538264e-05,0
"219",1.9145402e-05,0
"220",1.3021265e-05,0
"221",2.7093137e-05,0
"222",1.5086621e-05,0
"223",2.2437659e-05,0
"224",2.3475478e-05,0
"225",2.2127209e-05,0
"226",2.31522e-05,0
"227",2.1516952e-05,0
"228",2.893101e-05,0
"229",2.3085214e-05,0
"230",2.2743858e-05,0
"231",2.0655208e-05,0
"232",2.3499858e-05,0
"233",1.5091337e-05,0
"234",1.6927597e-05,0
"235",1.9454263e-05,0
"236",1.8693008e-05,0
"237",2.3066211e-05,0
"238",1.2038251e-05,0
"239",1.0802679e-05,0
"240",2.0130924e-05,0
"241",1.9064123e-05,0
"242",1.9642895e-05,0
"243",1.4463126e-05,0
"244",1.8190832e-05,0
"245",1.656251e-05,0
"246",1.4332113e-05,0
"247",1.430564e-05,0
"248",1.9954701e-05,0
"249",3.1158984e-05,0
"250",1.9197588e-05,0
"251",1.1930232e-05,0
"252",1.7571715e-05,0
"253",1.9899951e-05,0
"254",1.0735357e-05,0
"255",1.0707874e-05,0
"256",1.8012716e-05,0
"257",1.2065238e-05,0
"258",1.166015e-05,0
"259",1.7667241e-05,0
"260",1.9568703e-05,0
"261",2.014315e-05,0
"262",1.4503059e-05,0
"263",1.7066077e-05,0
"264",1.5836397e-05,0
"265",1.4042691e-05,0
"266",9.9542411e-06,0
"267",1.4017785e-05,0
"268",1.5804572e-05,0
"269",1.3499469e-05,0
"270",1.4480666e-05,0
"271",1.858183e-05,0
"272",1.4960351e-05,0
"273",1.1151522e-05,0
"274",1.1451788e-05,0
"275",1.1439244e-05,0
"276",1.2061888e-05,0
"277",1.042516e-05,0
"278",1.8892431e-05,0
"279",1.3417017e-05,0
"280",1.2574416e-05,0
"281",1.7215213e-05,0
"282",1.2245661e-05,0
"283",0.013344488,1
"284",0.00011240919,1
"285",0.026713369,0
"286",0.00024717421,1
"287",0.027726978,1
"288",2.4985104e-05,0
"289",2.5241274e-05,0
"290",0.0004663988,1
"291",4.6271372e-05,0
"292",4.9856975e-05,0
"293",0.00226073,1
"294",3.0206404e-05,0
"295",1.9065144e-05,0
"296",4.6240111e-05,0
"297",3.3548549e-05,0
"298",3.3971004e-05,0
"299",4.3794647e-05,0
"300",0.026318151,0
"301",6.7429933e-05,1
"302",0.026946967,0
"303",3.757963e-05,0
"304",3.6451494e-05,0
"305",3.2779211e-05,0
"306",2.1306e-05,0
"307",2.6317379e-05,0
"308",2.8347804e-05,0
"309",5.225722e-05,0
"310",1.477627e-05,0
"311",1.772677e-05,0
"312",2.0313089e-05,0
"313",2.2890191e-05,0
"314",2.4293637e-05,0
"315",1.7260289e-05,0
"316",2.7893803e-05,0
"317",2.0236479e-05,0
"318",2.4508989e-05,0
"319",2.3665579e-05,0
"320",3.106779e-05,0
"321",1.6758963e-05,0
"322",1.984929e-05,0
"323",1.6273213e-05,0
"324",1.3693634e-05,0
"325",3.1533429e-05,0
"326",1.3970739e-05,0
"327",1.9212132e-05,0
"328",1.6551463e-05,0
"329",2.1497454e-05,0
"330",1.628767e-05,0
"331",2.264626e-05,0
"332",2.5362268e-05,0
"333",1.201306e-05,0
"334",1.7037702e-05,0
"335",2.6577042e-05,0
"336",2.5467531e-05,0
"337",1.1927863e-05,0
"338",1.2654042e-05,0
"339",1.1314092e-05,0
"340",1.2163835e-05,0
"341",1.2250182e-05,0
"342",1.929554e-05,0
"343",1.1829507e-05,0
"344",2.3192687e-05,0
"345",2.1506299e-05,0
"346",0.027833135,0
"347",1.6733346e-05,0
"348",1.360325e-05,0
"349",1.5746239e-05,0
"350",1.818849e-05,0
"351",1.9871149e-05,0
"352",1.3721228e-05,0
"353",2.1633651e-05,0
"354",1.0837455e-05,0
"355",1.7333978e-05,0
"356",1.0948625e-05,0
"357",1.0308375e-05,0
"358",1.1949296e-05,0
"359",1.1293786e-05,0
"360",1.6187486e-05,0
"361",1.3695728e-05,0
"362",2.2387228e-05,0
"363",1.5532521e-05,0
"364",1.0705698e-05,0
"365",2.0266863e-05,0
"366",0.026456125,0
"367",1.2576604e-05,0
"368",1.0986334e-05,0
"369",1.1017313e-05,0
"370",1.7773562e-05,0
"371",1.3924116e-05,0
"372",1.510739e-05,0
"373",1.3994548e-05,0
"374",1.4956658e-05,0
"375",1.7382672e-05,0
"376",1.3196875e-05,0
"377",1.051689e-05,0
"378",1.119654e-05,0
"379",1.1200086e-05,0
"380",1.5374019e-05,0
"381",1.6400889e-05,0
"382",1.543015e-05,0
"383",1.3269395e-05,0
"384",1.3615902e-05,0
"385",1.1230749e-05,0
"386",1.4168396e-05,0
"387",2.173821e-05,0
"388",1.7314477e-05,0
"389",2.1704373e-05,0
"390",0.025051101,0
"391",1.8656447e-05,0
"392",1.3377968e-05,0
"393",1.8926574e-05,0
"394",1.1782758e-05,0
"395",1.3429477e-05,0
"396",1.1626928e-05,0
"397",0.014723276,1
"398",0.014432797,1
"399",0.0007135376,1
"400",5.7359986e-05,1
"401",0.012552399,0
"402",0.018827703,1
"403",4.0687774e-05,0
"404",3.0662445e-05,0
"405",9.266518e-05,0
"406",0.0016675851,1
"407",0.00010601137,1
"408",4.2082227e-05,0
"409",0.0074877083,1
"410",3.8265383e-05,0
"411",2.8658932e-05,0
"412",0.0001926238,1
"413",6.1877207e-05,0
"414",4.1630326e-05,0
"415",1.8765477e-05,0
"416",0.012252423,0
"417",2.227559e-05,0
"418",1.9758431e-05,0
"419",4.6247799e-05,0
"420",4.5873121e-05,0
"421",5.0859601e-05,0
"422",1.8181847e-05,0
"423",1.8437226e-05,0
"424",3.4277826e-05,0
"425",1.9979526e-05,0
"426",2.3285267e-05,0
"427",2.556934e-05,0
"428",3.153058e-05,0
"429",2.1412594e-05,0
"430",3.2331258e-05,0
"431",1.2779636e-05,0
"432",1.940483e-05,0
"433",1.9009413e-05,0
"434",2.8581646e-05,0
"435",2.8437558e-05,0
"436",1.7487288e-05,0
"437",1.4195867e-05,0
"438",1.3084381e-05,0
"439",2.3025161e-05,0
"440",2.2530166e-05,0
"441",2.0162195e-05,0
"442",2.1850083e-05,0
"443",1.3840428e-05,0
"444",1.9470793e-05,0
"445",0.011869636,0
"446",2.5324138e-05,0
"447",1.8648156e-05,0
"448",1.6634513e-05,0
"449",1.9762259e-05,0
"450",1.8537828e-05,0
"451",1.918712e-05,0
"452",2.218286e-05,0
"453",2.9469927e-05,0
"454",1.4598365e-05,0
"455",1.6343506e-05,0
"456",1.3424029e-05,0
"457",1.2106321e-05,0
"458",1.3404913e-05,0
"459",1.5817369e-05,0
"460",1.3748047e-05,0
"461",1.4180926e-05,0
"462",2.3858991e-05,0
"463",1.4251541e-05,0
"464",0.012296115,0
"465",1.8742757e-05,0
"466",1.4443865e-05,0
"467",2.3905138e-05,0
"468",2.4514319e-05,0
"469",1.4596299e-05,0
"470",1.8980514e-05,0
"471",1.456676e-05,0
"472",2.2623847e-05,0
"473",1.2831736e-05,0
"474",1.4339023e-05,0
"475",1.2587528e-05,0
"476",1.436451e-05,0
"477",0.01164099,0
"478",1.2950468e-05,0
"479",1.1201678e-05,0
"480",1.4853192e-05,0
"481",1.5331e-05,0
"482",1.1604654e-05,0
"483",2.1179063e-05,0
"484",1.4550539e-05,0
"485",1.7264881e-05,0
"486",1.5107169e-05,0
"487",1.1312216e-05,0
"488",0.012094033,0
"489",1.2201311e-05,0
"490",1.4113547e-05,0
"491",2.3424157e-05,0
"492",1.2336154e-05,0
"493",2.2294935e-05,0
"494",1.5381528e-05,0
"495",0.0071330251,0
"496",1.1200893e-05,0
"497",0.011684125,0
"498",1.9252893e-05,0
"499",9.6368831e-06,0
"500",1.6245337e-05,0
"501",1.3747711e-05,0
"502",1.5511566e-05,0
"503",1.8379762e-05,0
"504",1.2145516e-05,0
"505",1.7732608e-05,0
"506",1.3911577e-05,0
"507",1.0231647e-05,0
"508",1.7732638e-05,0
"509",1.6034451e-05,0
"510",1.8389482e-05,0
"511",1.9803359e-05,0
"512",9.1601635e-06,0
"513",1.127152e-05,0
"514",1.4109854e-05,0
"515",1.2155293e-05,0
"516",1.0420852e-05,0
"517",1.3235913e-05,0
"518",1.9376028e-05,0
"519",0.012285808,0
"520",1.7220054e-05,0
"521",1.2147957e-05,0
"522",1.4859344e-05,0
"523",1.5627057e-05,0
"524",0.012042621,0
"525",1.3401873e-05,0
"526",1.0712088e-05,0
"527",1.2801894e-05,0
"528",1.7381176e-05,0
"529",1.7316876e-05,0
"530",1.218472e-05,0
"531",1.3680039e-05,0
"532",1.4660428e-05,0
"533",9.7454794e-06,0
"534",1.4377287e-05,0
"535",1.180459e-05,0
"536",1.5404557e-05,0
"537",1.5547637e-05,0
"538",0.013276185,0
"539",1.3090883e-05,0
"540",9.6704143e-06,0
"541",1.1132992e-05,0
"542",1.0422164e-05,0
"543",0.011677426,0
"544",1.4811298e-05,0
"545",1.1704689e-05,0
"546",1.7207683e-05,0
"547",0.01161404,0
"548",0.012812655,0
"549",1.9058143e-05,0
"550",1.7276789e-05,0
"551",2.896922e-05,0
"552",0.00027689841,1
"553",0.020453005,1
"554",0.0020414771,1
"555",0.020285691,1
"556",0.0032376281,1
"557",0.0017730576,1
"558",0.00016680651,1
